name,avgomega,maxomega,avgld,maxld,minscale,maxscale,scalerat
Canada_Atlas,Chamberlin,0.663664138989027,1.9624473098811233,14.528344426841851,25.849304083241122,0.9836972017548928,1.0313030437233062,4.8394812838224555
Canada_Atlas,Matrix,1.9197561359849267,5.81390384443906,10.549011189008525,26.239275758928102,0.9633016274604911,1.0967043059131916,13.84848469574207
Canada_Wall_Map,Chamberlin,0.43406879259683295,1.3403413307104484,19.25000368583276,30.536029595262562,0.9883402278151482,1.0166643056910523,2.865822626538028
Canada_Wall_Map,Matrix,1.4175960202942803,4.115778602749764,14.090563746667963,31.013473991162073,0.991652642748824,1.0548699444536653,6.374944106396496
NW_South_America,Chamberlin,0.3484754884584317,1.2589301136562756,22.71520988645635,35.10289350939797,0.9893746384008517,1.0136377150300853,2.45236492704628
NW_South_America,Matrix,1.3215010060638646,3.94186344698849,16.843937168356966,35.26956995072146,1.0095716867818463,1.0478942640410798,3.7959243272156495
Australia,Chamberlin,0.3481310675693204,1.1652891152762934,23.07400240283884,35.70858668555434,0.9893199030620963,1.0107248789170333,2.1636050976721943
Australia,Matrix,1.330698167113201,3.6290651626443378,17.148020499586476,35.82838719645406,1.0082989805427927,1.038506545833485,2.995893665828242
S_South_America,Chamberlin,0.4208865681886628,1.6139575664627546,22.53603786190845,35.2421308381206,0.9882638769218793,1.0210870381174249,3.321295249380052
S_South_America,Matrix,1.4445322045328388,4.847057494702663,16.588276447694817,35.62828450811662,1.005114862732518,1.0669018289248755,6.147254257526624
E_South_America,Chamberlin,0.40036733210387027,1.563660824108765,25.252265459462567,39.48321237245409,0.9882880875230932,1.0180733142551712,3.013820272459977
E_South_America,Matrix,1.469195870950407,4.619401970023842,18.540951196291093,39.725715026739636,1.0075687037430996,1.0558055221927938,4.787447076362672
Europe_Wall_Map,Chamberlin,0.426617515004722,1.640156491285649,35.48892966007178,55.56130447164651,0.9864416971603753,1.0141405948258821,2.8079609514928716
Europe_Wall_Map,Matrix,1.7363399914338544,4.913712795239811,25.956127827549672,55.56872621893217,1.0143746816443364,1.0466057745784039,3.177434681415714
South_America_Wall_Map,Chamberlin,0.9442085009394178,3.6461447168009684,93.03706850532747,146.5439744528835,0.9737785202502829,1.0377940299605761,6.573929120334254
South_America_Wall_Map,Matrix,3.442479340897029,10.618396355342583,66.87316190028879,147.1531394744402,1.0222768603484007,1.1241448195267643,9.964811210110547
North_America_Wall_Map,Chamberlin,1.14423501851535,4.406526780063804,142.7192082211504,225.79855795342291,0.9676917342596348,1.0344134205488686,6.894931921711778
North_America_Wall_Map,Matrix,4.4087963489651045,12.777199470629046,101.8878677368707,225.87000524041468,1.0377057423369522,1.119578889207168,7.889823051940947
Africa_Wall_Map,Chamberlin,1.5443578652614185,5.6310384240651175,222.31795563957456,354.0469462131141,0.9585699507363191,1.0294926638766775,7.398804133791126
Africa_Wall_Map,Matrix,5.911782117967504,16.232536486596874,157.42900267956435,353.9987052229417,1.053236440633994,1.1153600847201404,5.89835688259619
