Control_points, No-op, Matrix, Chamberlin, TPEQD
Canada_Atlas , 0.015489092999999343 , 1.6487249780000006 , 3.462019452999998 , 1.4574403239999967 
Canada_Wall_Map , 0.015311203999999634 , 1.6489030019999973 , 3.4773252459999995 , 1.4604398700000019
NW_South_America , 0.015296026000001461 , 1.637161814999999 , 3.4175953870000058 , 1.4609542679999947
Australia , 0.015370528000005379 , 1.6463877540000027 , 3.4447560640000034 , 1.4562326180000014
S_South_America , 0.015333801999986463 , 1.634048555000021 , 3.4210208420000185 , 1.447135940999999
E_South_America , 0.0153111170000102 , 1.6336447299999861 , 3.4337509879999857 , 1.4516804589999879
Europe_Wall_Map , 0.01540057399998318 , 1.6495466009999973 , 3.4352564459999826 , 1.4494172050000032
Strebe_Africa , 0.015344397999967896 , 1.6624526089999847 , 3.5202040549999936 , 1.4462330879999854
North_America_Wall_Map , 0.0155456519999575 , 1.6462753079999857 , 3.438401158999966 , 1.452556243999993
Africa_Wall_Map , 0.01522789300003069 , 1.6493475049999802 , 3.4544400999999993 , 1.4500989989999766
Hemisphere , 0.015173946000004435 , 1.648266045000014 , 3.4541120639999576 , 1.4483226700000387
South_America_Wall_Map , 0.015320252000037726 , 1.6344262539999477 , 3.4324749510000174 , 1.4522474320000356
Overall, 0.015173946000004435 , 1.6336447299999861 , 3.4175953870000058 , 1.4462330879999854
